	F [Hz]	    dP [hPa] 	
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.000000    0.000000
        0.155818    1.140000
        0.677746    0.900000
        1.992707    1.760000
        3.525068    2.860000
        5.479902    6.340000
        7.302011    10.110000
        8.611122    14.120000
        9.292433    18.570000
        9.436455    20.020000
        9.280838    20.549999
        9.032699    20.129999
        8.661758    18.330000
        8.202352    16.879999
        7.809678    14.870000
        7.356805    13.740000
        7.000070    12.550000
        6.523643    10.950000
        6.239601    10.140000
        5.943772    8.880000
        5.636089    8.050000
        5.351743    7.100000
        4.970969    6.550000
        4.750086    5.870000
        4.511088    5.090000
        4.363002    4.860000
        4.171055    4.240000
        4.006210    3.850000
        3.866789    3.670000
        3.778147    3.500000
        3.702847    3.260000
        3.677057    3.240000
        3.592438    3.100000
        3.568879    3.050000
        3.528146    3.130000
        3.512058    3.090000
        3.481227    2.900000
        3.440091    3.030000
        3.444416    2.970000
        3.646884    2.990000
        3.961494    3.820000
        4.395943    4.420000
        4.752129    5.310000
        5.070171    6.000000
        5.265264    6.640000
        5.478751    6.970000
        5.954626    8.170000
        6.326111    9.030000
        6.589931    9.820000
        6.751348    10.710000
        6.833535    10.910000
        6.727406    10.950000
        6.877038    11.120000
        6.859652    11.070000
        6.755311    10.870000
        6.718431    10.900000
        6.731287    10.970000
        6.701140    10.870000
        6.729281    10.770000
        6.746337    10.830000
        6.724885    10.690000
        6.774379    10.610000
        6.772511    10.760000
        6.725919    10.660000
        6.751283    10.570000
        6.796556    10.760000
        6.819355    10.690000
        6.676777    10.610000
        6.696514    10.660000
        6.693366    10.600000
        6.646158    10.580000
        6.685131    10.500000
        6.664742    10.600000
        6.670987    10.640000
        6.761390    10.550000
        6.776773    10.630000
        6.724045    10.670000
        6.772315    10.670000
        6.757996    10.700000
        6.727664    10.770000
        6.695681    10.730000
        6.729669    10.680000
        6.830401    10.700000
        6.642753    10.570000
        6.637965    10.410000
        6.654245    10.580000
        6.772009    10.650000
        6.788801    10.610000
        6.747834    10.590000
        6.690050    10.760000
        6.713061    10.550000
        7.122888    10.760000
        7.706026    12.850000
        8.216476    14.590000
        8.645471    16.650000
        9.057698    17.900000
        9.308040    19.080000
        9.421224    20.110001
        9.478134    20.480000
        9.316192    20.600000
        9.282945    20.080000
        9.140954    19.379999
        8.919988    19.090000
        8.951839    18.830000
        8.927066    18.590000
        8.970039    18.559999
        8.939836    18.590000
        9.054782    18.530001
        8.972454    18.520000
        9.071575    18.549999
        9.073771    18.580000
        9.084669    18.650000
        8.893369    18.690001
        8.971739    18.500000
        8.956650    18.500000
        8.854259    18.610001
        8.826558    18.480000
        8.935220    18.400000
        8.809505    18.490000
        8.875565    18.490000
        8.885116    18.459999
        8.921049    18.540001
        8.910538    18.590000
        9.010272    18.530001
        8.917602    18.639999
        8.950237    18.620001
        8.945788    18.540001
        8.995592    18.510000
        9.002521    18.549999
        8.834876    18.510000
        8.956561    18.549999
        9.008107    18.540001
        8.983829    18.490000
        8.883975    18.480000
        9.006484    18.500000
        9.003511    18.490000
        8.972544    18.510000
        9.085402    18.520000
        9.105349    18.600000
        9.050502    18.559999
        8.995413    18.600000
        8.994154    18.590000
        9.104059    18.420000
        9.474582    18.910000
        10.481581    21.200001
        11.284713    25.930000
        11.877778    29.379999
        12.125867    32.880001
        11.803355    33.410000
        11.376329    30.850000
        11.125327    29.240000
        10.963830    28.080000
        10.990219    27.139999
        11.089380    27.350000
        11.174546    28.090000
        11.248364    28.740000
        11.348162    29.410000
        11.484902    29.680000
        11.502426    29.709999
        11.470740    29.820000
        11.359295    29.719999
        11.539017    29.760000
        11.525203    29.590000
        11.543568    29.670000
        11.410433    29.660000
        11.402076    29.660000
        11.449746    29.680000
        11.424891    29.719999
        11.379801    29.719999
        11.244454    29.620001
        11.474908    29.700001
        11.512177    29.670000
        11.493483    29.580000
        11.412209    29.570000
        11.394241    29.559999
        11.438048    29.559999
        11.383275    29.670000
        11.355356    29.740000
        11.384453    29.600000
        11.298390    29.549999
        11.369774    29.680000
        11.528224    29.629999
        11.414548    29.610001
        11.379623    29.610001
        11.402154    29.580000
        11.344193    29.469999
        11.445338    29.600000
        11.471837    29.530001
        11.485971    29.620001
        11.561585    29.610001
        11.399437    29.639999
        11.490181    29.590000
        11.495934    29.600000
        11.357887    29.629999
        11.380125    29.620001
        11.465858    29.620001
        11.493813    29.629999
        11.440814    29.559999
        11.216593    29.600000
        11.368157    29.650000
        11.376564    29.590000
        12.143291    29.730000
        13.151714    34.700001
        13.834643    39.450001
        13.995381    43.680000
        14.082523    44.880001
        13.785633    44.009998
        13.433766    42.139999
        13.104310    40.480000
        13.242470    39.200001
        13.604252    39.860001
        13.679459    41.369999
        13.750565    42.130001
        13.703457    42.540001
        13.749214    42.709999
        13.687957    42.820000
        13.810520    42.639999
        13.783733    42.689999
        13.780341    42.580002
        13.784913    42.580002
        13.783463    42.400002
        13.736669    42.689999
        13.771259    42.450001
        13.794274    42.290001
        13.716346    42.410000
        13.737207    42.549999
        13.818972    42.419998
        13.813927    42.439999
        13.686948    42.529999
        13.734242    42.509998
        13.832898    42.490002
        13.826342    42.630001
        13.759380    42.619999
        13.764760    42.410000
        13.834128    42.450001
        13.734916    42.470001
        13.809703    42.380001
        13.765791    42.360001
        13.769092    42.560001
        13.762731    42.520000
        13.763407    42.419998
        13.880733    42.320000
        13.786720    42.470001
        13.701312    42.290001
        13.673477    42.380001
        13.775710    42.279999
        13.741792    42.240002
        13.733164    42.400002
        13.716077    42.529999
        13.719882    42.299999
        13.699434    42.500000
        13.729933    42.540001
        13.782648    42.240002
        13.800864    42.380001
        13.752050    42.540001
        13.724817    42.459999
        14.087625    42.430000
        15.095251    45.230000
        15.532021    50.180000
        16.024517    55.119999
        16.076847    56.810001
        16.337032    57.869999
        16.060871    58.150002
        16.105330    58.259998
        16.162270    57.980000
        16.043638    57.869999
        15.825602    57.810001
        15.912640    57.709999
        16.032225    57.669998
        15.974919    57.700001
        16.016977    57.639999
        16.106464    57.669998
        16.145472    57.740002
        16.127569    57.639999
        15.810589    57.509998
        16.084929    57.580002
        15.947533    57.540001
        16.059742    57.340000
        15.968701    57.299999
        16.001120    57.200001
        16.025801    57.240002
        15.945785    57.310001
        16.030779    57.360001
        16.055391    57.310001
        16.042030    57.259998
        15.975557    57.360001
        16.028852    57.299999
