_time	F_cup
2023-03-21T13:27:54Z	6.89
2023-03-21T13:27:55Z	7.31
2023-03-21T13:27:56Z	7.36
2023-03-21T13:27:57Z	7.27
2023-03-21T13:27:58Z	7.34
2023-03-21T13:27:59Z	7.49
2023-03-21T13:28:00Z	7.30
2023-03-21T13:28:01Z	7.07
2023-03-21T13:28:02Z	7.27
2023-03-21T13:28:03Z	7.20
2023-03-21T13:28:04Z	6.70
2023-03-21T13:28:05Z	6.61
2023-03-21T13:28:06Z	8.26
2023-03-21T13:28:07Z	9.27
2023-03-21T13:28:08Z	8.38
2023-03-21T13:28:09Z	8.68
2023-03-21T13:28:10Z	9.59
2023-03-21T13:28:11Z	9.27
2023-03-21T13:28:12Z	8.55
2023-03-21T13:28:13Z	8.17
2023-03-21T13:28:14Z	7.91
2023-03-21T13:28:15Z	6.91
2023-03-21T13:28:16Z	6.65
2023-03-21T13:28:17Z	6.92
2023-03-21T13:28:18Z	7.83
2023-03-21T13:28:19Z	7.53
2023-03-21T13:28:20Z	7.67
2023-03-21T13:28:21Z	8.21
2023-03-21T13:28:22Z	8.11
2023-03-21T13:28:23Z	8.03
2023-03-21T13:28:24Z	7.91
2023-03-21T13:28:25Z	6.90
2023-03-21T13:28:26Z	6.31
2023-03-21T13:28:27Z	6.65
2023-03-21T13:28:28Z	7.02
2023-03-21T13:28:29Z	7.05
2023-03-21T13:28:30Z	7.33
2023-03-21T13:28:31Z	7.19
2023-03-21T13:28:32Z	8.22
2023-03-21T13:28:33Z	8.22
2023-03-21T13:28:34Z	7.76
2023-03-21T13:28:35Z	7.77
2023-03-21T13:28:36Z	7.59
2023-03-21T13:28:37Z	7.82
2023-03-21T13:28:38Z	8.51
2023-03-21T13:28:39Z	7.72
2023-03-21T13:28:40Z	7.15
2023-03-21T13:28:41Z	7.10
2023-03-21T13:28:42Z	6.71
2023-03-21T13:28:43Z	6.09
2023-03-21T13:28:44Z	5.45
2023-03-21T13:28:45Z	5.34
2023-03-21T13:28:46Z	6.29
2023-03-21T13:28:47Z	7.10
2023-03-21T13:28:48Z	7.53
2023-03-21T13:28:49Z	7.11
2023-03-21T13:28:50Z	7.40
2023-03-21T13:28:51Z	7.68
2023-03-21T13:28:52Z	8.00
2023-03-21T13:28:53Z	8.25
2023-03-21T13:28:54Z	8.42
2023-03-21T13:28:55Z	8.47
2023-03-21T13:28:56Z	8.35
2023-03-21T13:28:57Z	8.47
2023-03-21T13:28:58Z	8.64
2023-03-21T13:28:59Z	8.51
2023-03-21T13:29:00Z	8.09
2023-03-21T13:29:01Z	8.23
2023-03-21T13:29:02Z	8.60
2023-03-21T13:29:03Z	9.95
2023-03-21T13:29:04Z	10.82
2023-03-21T13:29:05Z	9.87
2023-03-21T13:29:06Z	9.53
2023-03-21T13:29:07Z	8.65
2023-03-21T13:29:08Z	8.65
2023-03-21T13:29:09Z	8.94
2023-03-21T13:29:10Z	8.59
2023-03-21T13:29:11Z	8.11
2023-03-21T13:29:12Z	7.78
2023-03-21T13:29:13Z	7.48
2023-03-21T13:29:14Z	7.94
2023-03-21T13:29:15Z	9.06
2023-03-21T13:29:16Z	9.43
2023-03-21T13:29:17Z	9.13
2023-03-21T13:29:18Z	8.69
2023-03-21T13:29:19Z	7.91
2023-03-21T13:29:20Z	7.74
2023-03-21T13:29:21Z	8.03
2023-03-21T13:29:22Z	7.29
2023-03-21T13:29:23Z	7.52
2023-03-21T13:29:24Z	8.01
2023-03-21T13:29:25Z	8.33
2023-03-21T13:29:26Z	8.12
2023-03-21T13:29:27Z	7.99
2023-03-21T13:29:28Z	7.71
2023-03-21T13:29:29Z	7.96
2023-03-21T13:29:30Z	8.24
2023-03-21T13:29:31Z	8.18
2023-03-21T13:29:32Z	8.61
2023-03-21T13:29:33Z	8.62
2023-03-21T13:29:34Z	8.56
2023-03-21T13:29:35Z	8.91
2023-03-21T13:29:36Z	8.97
2023-03-21T13:29:37Z	8.68
2023-03-21T13:29:38Z	8.33
2023-03-21T13:29:39Z	8.47
2023-03-21T13:29:40Z	8.41
2023-03-21T13:29:41Z	8.43
2023-03-21T13:29:42Z	8.89
2023-03-21T13:29:43Z	8.64
2023-03-21T13:29:44Z	7.96
2023-03-21T13:29:45Z	7.57
2023-03-21T13:29:46Z	7.32
2023-03-21T13:29:47Z	7.82
2023-03-21T13:29:48Z	7.48
2023-03-21T13:29:49Z	7.50
2023-03-21T13:29:50Z	6.84
2023-03-21T13:29:51Z	6.35
2023-03-21T13:29:52Z	5.92
2023-03-21T13:29:53Z	6.65
2023-03-21T13:29:54Z	6.52
2023-03-21T13:29:55Z	6.96
2023-03-21T13:29:56Z	7.55
2023-03-21T13:29:57Z	7.47
2023-03-21T13:29:58Z	7.11
2023-03-21T13:29:59Z	6.96
2023-03-21T13:30:00Z	6.50
2023-03-21T13:30:01Z	6.09
2023-03-21T13:30:02Z	5.83
2023-03-21T13:30:03Z	5.48
2023-03-21T13:30:04Z	5.49
2023-03-21T13:30:05Z	5.35
2023-03-21T13:30:06Z	6.43
2023-03-21T13:30:07Z	8.36
2023-03-21T13:30:08Z	8.94
2023-03-21T13:30:09Z	8.45
2023-03-21T13:30:10Z	8.17
2023-03-21T13:30:11Z	8.51
2023-03-21T13:30:12Z	8.96
2023-03-21T13:30:13Z	9.05
2023-03-21T13:30:14Z	9.11
2023-03-21T13:30:15Z	8.78
2023-03-21T13:30:16Z	8.67
2023-03-21T13:30:17Z	8.84
2023-03-21T13:30:18Z	8.88
2023-03-21T13:30:19Z	8.99
2023-03-21T13:30:20Z	8.66
2023-03-21T13:30:21Z	8.25
2023-03-21T13:30:22Z	8.05
2023-03-21T13:30:23Z	7.83
2023-03-21T13:30:24Z	7.20
